CodeGeneration,Code,Generation,Name,Latitude,Longitude,Altitude,Earliest annual mean,Latest annual mean,Status,StatusCode,Responsible Institute(s),Notes
KWT1,KWT,1,Key West,24.55,-81.8,,1860,1866,Closed,3,United States Coast Survey,
KZA1,KZA,1,Kzil-Agach,43.85,78.73,,1974,1975,Closed,3,,
KZN1,KZN,1,Kazan,55.783,49.133,,1892,1913,Closed,3,,operation not continuous
KZN2,KZN,2,Kazan (Zaymishche Raifa),55.833,48.85,80,1914,1992,Closed,3,,
KZN3,KZN,3,Kazan,55.91,48.79,60,,,Open,2,"http://kpfu.ru/eng and 
http://www.gcras.ru/eng/",Operating since July 2016
LAA1,LAA,1,Little Amercia 1,-78.583,-163.8,,1929,1929,Closed,3,American Geographical Society,
LAA2,LAA,2,Little America 2,-78.567,-163.933,,1934,1934,Closed,3,American Geographical Society,
LAA3,LAA,3,Little Amercia 3,-78.483,-163.85,,1940,1958,Closed,3,US Antarctic Service,
LAA4,LAA,4,Little America 4,-78.433,-163.917,,1947,1947,Closed,3,United States Navy,operation uncertain 1941-57
LAA5,LAA,5,Little Amercia 5,-78.167,-165.583,,1957,1958,Closed,3,US Coast and Geodetic Survey,
LAS1,LAS,1,Las Acacias,-35,-57.683,20,1961,,Closed,3,,1997 onwards F only
LAU1,LAU,1,Lauder,-45.033,169.683,,1979,1979,Closed,3,,
LDV1,LDV,1,Leadville,39.283,-106.283,,1958,1958,Closed,3,US Coast and Geodetic Survey,
LED1,LED,1,Leduc,53.3,-113.5,,,,Uncertain,0,,
LEN1,LEN,1,Leningradskaya,-69.5,159.4,,1977,1979,Closed,3,,
LER1,LER,1,Lerwick,60.138,-1.183,85,1923,,Open,2,https://geomag.bgs.ac.uk,
LGR1,LGR,1,Logrono,42.45,-2.5,,1957,1976,Closed,3,,
LIS1,LIS,1,Lisbon,38.717,-9.15,,1858,1900,Closed,3,,operation uncertain 1859-89
LIV1,LIV,1,Livingston Island,-62.662,-60.395,19.4,1997,,Open,2,http://www.obsebre.es/,
